"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000117519",4483.62709360346,-2.42271923982668,0.0600016215412185,-40.3775627657392,0,0,"CNN3","1266","calponin 3"
"ENSG00000183508",2053.88135557663,3.20195534801527,0.0724172012048843,44.2153976505697,0,0,"TENT5C","54855","terminal nucleotidyltransferase 5C"
"ENSG00000159176",5692.46278267679,-2.31373756504265,0.0575533659514386,-40.2016029261416,0,0,"CSRP1","1465","cysteine and glycine rich protein 1"
"ENSG00000150938",7442.98631416393,-2.05963137024966,0.0538449071469754,-38.2511825051101,0,0,"CRIM1","51232","cysteine rich transmembrane BMP regulator 1"
"ENSG00000116016",4423.94665216876,-1.88801937253936,0.0431679914554516,-43.7365582433399,0,0,"EPAS1","2034","endothelial PAS domain protein 1"
"ENSG00000136068",3796.1265394147,-1.6497920067325,0.0439354367472858,-37.5503722933724,0,0,"FLNB","2317","filamin B"
"ENSG00000164251",2348.7701339719,3.34450833214979,0.0690717570320964,48.4207797203661,0,0,"F2RL1","2150","F2R like trypsin receptor 1"
"ENSG00000124766",2576.65254960143,2.39228794578303,0.0617086149207607,38.7674873087808,0,0,"SOX4","6659","SRY-box transcription factor 4"
"ENSG00000124762",28106.1191885778,1.83225777686571,0.0388966410396146,47.1058098564253,0,0,"CDKN1A","1026","cyclin dependent kinase inhibitor 1A"
"ENSG00000106366",43719.1260988373,-1.84404649934629,0.04191649927478,-43.9933327269962,0,0,"SERPINE1","5054","serpin family E member 1"
"ENSG00000188153",2944.12640623352,2.26608046262948,0.055268128492201,41.0015776624181,0,0,"COL4A5","1287","collagen type IV alpha 5 chain"
"ENSG00000122861",28007.1433373973,2.26252546550042,0.0552183307902015,40.9741734877272,0,0,"PLAU","5328","plasminogen activator, urokinase"
"ENSG00000148773",1840.19727265675,-3.196058325696,0.0757850348989852,-42.1726839600465,0,0,"MKI67","4288","marker of proliferation Ki-67"
